name,lon,lat,correlation,rmse
corinto_679a_nicaragua_uhslc,-87.117,12.283,0.507982161,0.059042569
"corpus_cristi,tx_770a_usa_uhslc",-97.217,27.58,0.691884506,0.081662861
coruna_coru_spain_ieo,-8.4,43.367,0.751679976,0.073401838
cox_s_bazaar_136a_bangladesh_uhslc,91.833,21.45,0.376575104,0.195975161
"crescent_city,ca_556a_usa_uhslc",-124.18,41.745,0.764650825,0.071685393
cristobal_266a_panama_uhslc,-79.915,9.355,0.391891976,0.033525193
cromer_p183_uk_bodc,1.3016,52.934,0.673781271,0.172396345
crotone_crotone_italy_idromare,17.137,39.082,0.672837316,0.059637398
crozet_b_178b_france_uhslc,51.87,-46.425,0.627429704,0.058154307
"culebra,_pr_219a_usa_uhslc",-65.302,18.3,0.25733059,0.032392699
currimao_654a_philippines_uhslc,120.49,17.988,0.46955144,0.052935095
cuxhaven_germany_bsh,8.7167,53.867,0.816468538,0.234233413
dakar_e_223e_senegal_uhslc,-17.43,14.667,0.376459585,0.049477145
dalian_a_630a_china_uhslc,121.66,38.925,0.69643631,0.111155388
dallmann_c_682c_unconfirmed_uhslc,-58.683,-62.233,0.776804562,0.085500653
darwin_009_australia_johnhunter,130.85,-12.467,0.30999189,0.090868685
dar_es_salaam_102a_tanzania_uhslc,39.288,-6.82,0.088448334,0.090532001
"dauphin_island,_al_763a_usa_uhslc",-88.075,30.25,0.783798627,0.076123162
davao_b_372b_philippines_uhslc,125.63,7.0833,0.173607966,0.038471936
"davis,australia_001_glossdm_bodc",78.5,-68,0.698424261,0.068809752
davis_173a_australia_uhslc,77.967,-68.45,0.71530507,0.068036136
degerby_001_finland_fmi,20.385,60.032,0.531758899,0.121319329
delfzijl_del_nl_rws,6.9331,53.326,0.806104121,0.216843989
denhelder_hel_nl_rws,4.7464,52.965,0.816987932,0.160133549
devonport_p002_uk_bodc,-4.1852,50.368,0.764075528,0.08386116
"diegogarcia_d,uk_001_glossdm_bodc",72.433,-7.2333,0.293907519,0.043690902
"diegoramirez,chile_001_glossdm_bodc",-68.667,-56.558,0.595689227,0.139798027
diego_garcia_d_104d_united_kingdom_uhslc,72.433,-7.2333,0.240952671,0.042242304
diego_ramirez_599a_chile_uhslc,-68.715,-56.508,0.707368137,0.110808971
dieppe_france_refmar,1.0845,49.929,0.703115808,0.128531329
djibouti_119a_djibouti_uhslc,43.14,11.608,0.39704503,0.035018927
donges_france_refmar,-2.0883,47.306,0.776665699,0.114782131
dongfang_637a_china_uhslc,108.62,19.1,0.580942539,0.068485295
dover_p012_uk_bodc,1.3181,51.117,0.735735428,0.122827827
draghallan_002_sweden_smhi,17.533,62.367,0.503828372,0.125146742
"duck_pier,nc_260a_usa_uhslc",-75.74,36.183,0.777633794,0.094820014
dumont_d_urville_189a_france_uhslc,140.01,-66.662,0.672353635,0.07548569
dunkerque_france_refmar,2.3667,51.048,0.735502207,0.150275202
durban_181a_south_africa_uhslc,31.05,-29.867,0.467588788,0.07583357
"dutch_harbor_b,ak_041b_usa_uhslc",-166.54,53.88,0.785473816,0.081859565
dzaoudi_155a_mayotte_uhslc,45.257,-12.78,-0.047149058,0.073860046
easter_c_022c_chile_uhslc,-109.45,-27.15,0.52819325,0.063507115
"eastport,me_740a_usa_uhslc",-66.985,44.903,0.639336881,0.099782018
east_london_187a_south_africa_uhslc,27.917,-33.017,0.712947872,0.081153185
el_hierro_elhierro_spain_pde,-17.9,27.78,0.6653522,0.033124273
enewetok_b_006b_rep._of_marshall_i_uhslc,162.39,11.43,0.251302537,0.039530517
ensenada_317a_mexico_uhslc,-116.63,31.85,0.464475026,0.046822778
esbjerg_130121_denmark_dmi,8.4333,55.467,0.821509459,0.219748223
esmeraldas_098a_ecuador_uhslc,-79.647,0.9917,0.199832371,0.061455008
esperance_010_australia_johnhunter,121.89,-33.861,0.808452886,0.075630687
"esperanza,argentina_001_glossdm_bodc",-56.995,-63.395,0.752274946,0.083161898
